,Novel Name,Novel Date,Novel Url,Writer Url,Num Submissions,Avg Submission,Min Submission,Min Day,Max Submission,Max Day,Standard Deviation
11,John Brown's Body (I think!),November 2006,http://nanowrimo.org/participants/rachel-b-moore/novels/john-brown-s-body-i-think,http://nanowrimo.org/participants/rachel-b-moore/novels,1,0.0,0,1,0,1,0.0
12,Neil In The World,November 2005,http://nanowrimo.org/participants/rachel-b-moore/novels/neil-in-the-world,http://nanowrimo.org/participants/rachel-b-moore/novels,1,0.0,0,1,0,1,0.0
13,Don't Define Me,November 2015,http://nanowrimo.org/participants/abookishbabe/novels/don-t-define-me,http://nanowrimo.org/participants/abookishbabe/novels,2,14649.5,667,8,28632,1,13982.5
14,Venus: Avatars of Olympus #1,November 2015,http://nanowrimo.org/participants/alexabexis/novels/venus-avatars-of-olympus-1,http://nanowrimo.org/participants/alexabexis/novels,21,3752.38095238,309,24,11966,15,2770.95550782
15,Wolf Demons: A Point Five Novel,November 2014,http://nanowrimo.org/participants/alexabexis/novels/wolf-demons-a-point-five-novel,http://nanowrimo.org/participants/alexabexis/novels,24,2208.33333333,269,27,7085,26,1603.54291769
16,The Duke's Landscapes,November 2013,http://nanowrimo.org/participants/alexabexis/novels/the-duke-s-landscapes,http://nanowrimo.org/participants/alexabexis/novels,23,2228.47826087,63,22,7223,10,1697.41296427
17,Once Upon a Dream,November 2012,http://nanowrimo.org/participants/alexabexis/novels/once-upon-a-dream-214455,http://nanowrimo.org/participants/alexabexis/novels,29,1977.82758621,55,3,5153,24,1219.31139608
18,Mercy (rewrite),November 2011,http://nanowrimo.org/participants/alexabexis/novels/mercy-rewrite,http://nanowrimo.org/participants/alexabexis/novels,19,2635.94736842,9,15,6114,27,1756.62746474
19,The Ghost of Pier 49,November 2010,http://nanowrimo.org/participants/alexabexis/novels/the-ghost-of-pier-49,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
20,PD,November 2009,http://nanowrimo.org/participants/alexabexis/novels/pd-598245,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
21,Point Five,November 2008,http://nanowrimo.org/participants/alexabexis/novels/point-five,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
22,Diana,November 2007,http://nanowrimo.org/participants/alexabexis/novels/diana,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
23,Spirited,November 2006,http://nanowrimo.org/participants/alexabexis/novels/spirited-598232,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
24,Souperheroes,November 2005,http://nanowrimo.org/participants/alexabexis/novels/souperheroes,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
25,Mercy,November 2004,http://nanowrimo.org/participants/alexabexis/novels/mercy-598220,http://nanowrimo.org/participants/alexabexis/novels,1,0.0,0,1,0,1,0.0
26,Untitled (Vigilantes rewrite),November 2015,http://nanowrimo.org/participants/allyellowflowers/novels/untitled-vigilantes-rewrite,http://nanowrimo.org/participants/AllYellowFlowers/novels,20,550.0,0,1,2026,25,447.641709406
