"Fact Sheet","index","url"
"Location: Helsinki, Finland Hobbies: writing, reading, urban exploration, cooking, trying new things Favorite noveling music: The Decemberists, The National, soundtracks, other cool stuff Website: http://graveyardrain.tumblr.com Occupation: Student Favorite books or authors: The Secret History, Ursula K. le Guin, Alki Zei, Donna Tartt, Kazuo Ishiguro, Anna Gavalda, Guy Gavriel Kay, Neil Gaiman","3497","http://nanowrimo.org/participants/Vehka"
"Fact Sheet","3498","http://nanowrimo.org/participants/honeywell"
"Primary Role: Municipal Liaison Location: Berkeley, CA Hobbies: Drawing, reading, long walks downtown, cooking, ukulele Favorite noveling music: Leo Kottke, Iz Kamakawiwo'ole, Ka'au Crater Boys, Nujabes Website: Occupation: Healthcare Interpreter Favorite books or authors: Christopher Moore, Terry Pratchett, Jane Smiley, Bill Bryson. Sacre Bleu, Thud!, Moo, In a Sunburned Country.","3499","http://nanowrimo.org/participants/honeywell"
"Fact Sheet","3500","http://nanowrimo.org/participants/Allioup"
"Location: East Bay Hobbies: ecstatic dance, contact improv, ukulele, Website: Occupation: why so many questions!?!???!!!","3501","http://nanowrimo.org/participants/Allioup"
"Fact Sheet","3502","http://nanowrimo.org/participants/amelia-marshall"
"Location: Squirrel Hill, Oakland Hobbies: horses, active galaxies, local history, staggering along trails, youth advocy Favorite noveling music: Ukulele and Slack Key Guitar Website: Occupation: writer, real estate broker, retired engineer Favorite books or authors: Edward Abbey, Michael Connolly, James Ellroy, Barbara Kngsolver,Jane Smiley, A. McCall Smith","3503","http://nanowrimo.org/participants/amelia-marshall"
"Fact Sheet","3504","http://nanowrimo.org/participants/AngerAndAgony"
"Age: 18 Birthday: June 16 Location: Hayward, CA, USA Hobbies: Singing, writing, going to concerts, playing video games Favorite noveling music: Three Days Grace, Shinedown, Thirty Seconds To Mars, Issues, David Cook, Daughtry, The Goo Goo Dolls, The Fray Website: http://archiveofourown.org/works/5113553/chapters/11764316 Occupation: Student at California State university East Bay Favorite books or authors: Ned Vizzini, JK Rowling, Jodi Picoult, Rick Riordan, Chris De'Lacey, Suzanne Collins, Veronica Roth, Joelle Charbonneau, Kristin Hannah","3505","http://nanowrimo.org/participants/AngerAndAgony"
"Fact Sheet","3506","http://nanowrimo.org/participants/Aralonia"
"Location: Moraga or San Jose, California, USA Hobbies: Video games, drawing, writing of course, driving, Favorite noveling music: JRPG soundtracks, anime soundtracks, Beethoven's 3rd, Radiohead, hilariously peppy J-Pop, waltzes, minuets, Top Gear, numbers stations Website: http://twitter.com/aralonia Occupation: Student, dreamer. Favorite books or authors: The Great Gatsby, The Hunt for Red October, The Handmaid's Tale, 2001 A Space Odyssey, many others","3507","http://nanowrimo.org/participants/Aralonia"
"Fact Sheet","3508","http://nanowrimo.org/participants/bexdragon"
"Primary Role: Municipal Liaison Location: Madison, WI Hobbies: Role Playing Games, Books, Movies, Adventure Travel, Laziness Favorite noveling music: 2Cellos, Birthday Massacre, Dune, Nightwish, Beseech, Charon, Delerium Website: Favorite books or authors: Sunshine (Robin McKinley), White Dragon (Anne McCaffrey), Outlaws of Sherwood (Robin McKinley), Fire Dancer (Ann Maxwell), Anne McCaffrey, Robin McKinley, Mercedes Lackey, Ann Maxwell, Neal Stephenson, David R. Palmer","3509","http://nanowrimo.org/participants/bexdragon"
"Fact Sheet","3510","http://nanowrimo.org/participants/Bustella"
